Name,Date,Over,Over Odds,Under,Under Odds
Justin Fields,1/7/24 1:00 PM,2899.5,-110,2899.5,-110
Daniel Jones,1/7/24 1:00 PM,3199.5,-110,3199.5,-110
CJ Stroud,1/7/24 1:00 PM,3199.5,-110,3199.5,-110
Mac Jones,1/7/24 1:00 PM,3249.5,-110,3249.5,-110
Bryce Young,1/7/24 1:00 PM,3299.5,-110,3299.5,-110
Lamar Jackson,1/7/24 1:00 PM,3499.5,-110,3499.5,-110
Jalen Hurts,1/7/24 1:00 PM,3599.5,-110,3599.5,-110
Russell Wilson,1/7/24 1:00 PM,3725.5,-110,3725.5,-110
Geno Smith,1/7/24 1:00 PM,3799.5,-115,3799.5,-105
Tua Tagovailoa,1/7/24 1:00 PM,3825.5,-110,3825.5,-110
Jared Goff,1/7/24 1:00 PM,3899.5,-115,3899.5,-105
Dak Prescott,1/7/24 1:00 PM,3925.5,-110,3925.5,-110
Josh Allen,1/7/24 1:00 PM,4201.5,-110,4201.5,-110
Kirk Cousins,1/7/24 1:00 PM,4324.5,-110,4324.5,-110
Joe Burrow,1/7/24 1:00 PM,4349.5,-110,4349.5,-110
Justin Herbert,1/7/24 1:00 PM,4399.5,-110,4399.5,-110
Patrick Mahomes,1/7/24 1:00 PM,4675.5,-110,4675.5,-110
Aaron Rodgers,1/7/24 1:00 PM,3899.5,-110,3899.5,-110
Derek Carr,1/7/24 1:00 PM,3800.5,-110,3800.5,-110
Anthony Richardson,1/7/24 1:00 PM,2599.5,-120,2599.5,+100
Desmond Ridder,1/7/24 1:00 PM,2501.5,-110,2501.5,-110
Kenny Pickett,1/7/24 1:00 PM,3275.5,-110,3275.5,-110
Jordan Love,1/7/24 1:00 PM,3349.5,-110,3349.5,-110
Deshaun Watson,1/7/24 1:00 PM,3649.5,-110,3649.5,-110
