Name,Odds
Patrick Mahomes,+400
Justin Herbert,+600
Joe Burrow,+600
Josh Allen,+900
Kirk Cousins,+900
Trevor Lawrence,+1500
Tua Tagovailoa,+1500
Dak Prescott,+1600
Jared Goff,+1600
Derek Carr,+1800
Aaron Rodgers,+2000
Matthew Stafford,+2000
Deshaun Watson,+3000
Jimmy Garoppolo,+3000
Russell Wilson,+3000
Geno Smith,+3000
Jalen Hurts,+3500
Lamar Jackson,+3500
Jordan Love,+5000
Kenny Pickett,+6000
Daniel Jones,+7500
Mac Jones,+8000
CJ Stroud,+8000
Ryan Tannehill,+8000
Brock Purdy,+10000
Justin Fields,+10000
Bryce Young,+10000
Trey Lance,+12500
Anthony Richardson,+12500
Baker Mayfield,+12500
Sam Howell,+12500
Desmond Ridder,+12500
Andy Dalton,+15000
Will Levis,+15000
Bailey Zappe,+15000
