Name,Date,Over,Over Odds,Under,Under Odds
Aaron Rodgers,"Sep 7, 8:20pm ET",3800.5,+500,3800.5,+300
Anthony Richardson,"Sep 7, 8:20pm ET",2475.5,+600,2475.5,+550
Bryce Young,"Sep 10, 1:00pm ET",3275.5,+1200,3275.5,+1100
C.J. Stroud,"Sep 10, 1:00pm ET",3175.5,-112,3175.5,-112
Dak Prescott,"Sep 10, 1:00pm ET",3850.5,-112,3850.5,-112
Daniel Jones,"Sep 10, 8:20pm ET",3200.5,-112,3200.5,-112
Derek Carr,"Sep 10, 8:20pm ET",3750.5,-112,3750.5,-112
Deshaun Watson,"Sep 7, 8:30pm ET",3625.5,-112,3625.5,-112
Desmond Ridder,"Sep 10, 1:00pm ET",2525.5,-112,2525.5,-112
Geno Smith,"Sep 10, 1:00pm ET",3800.5,-112,3800.5,-112
Jalen Hurts,"Sep 10, 4:25pm ET",3625.5,-112,3625.5,-112
Jared Goff,"Sep 10, 4:25pm ET",3850.5,-112,3850.5,-112
Joe Burrow,"Sep 7, 8:15pm ET",4300.5,-112,4300.5,-112
Jordan Love,"Sep 10, 1:00pm ET",3325.5,-112,3325.5,-112
Josh Allen,"Sep 10, 4:25pm ET",4200.5,-112,4200.5,-112
Justin Fields,"Sep 11, 8:15pm ET",2775.5,-112,2775.5,-112
Justin Herbert,"Sep 10, 4:25pm ET",4400.5,-112,4400.5,-112
Kenny Pickett,"Sep 10, 4:25pm ET",3275.5,-112,3275.5,-112
Kirk Cousins,"Sep 10, 1:00pm ET",4275.5,-112,4275.5,-112
Lamar Jackson,"Sep 10, 1:00pm ET",3400.5,-112,3400.5,-112
Mac Jones,"Sep 7, 8:20pm ET",3250.5,-112,3250.5,-112
Patrick Mahomes,"Sep 10, 4:25pm ET",4650.5,-112,4650.5,-112
Russell Wilson,"Sep 7, 8:15pm ET",3650.5,-112,3650.5,-112
Trevor Lawrence,"Sep 10, 4:25pm ET",3900.5,-112,3900.5,-112
Tua Tagovailoa,"Sep 10, 1:00pm ET",3800.5,-112,3800.5,-112
