Name,Date,Over,Over Odds,Under,Under Odds
Dawson Knox,1/7/24 1:00 PM,400.5,-110,400.5,-110
Tim Patrick,1/7/24 1:00 PM,500.5,-110,500.5,-110
Tyler Higbee,1/7/24 1:00 PM,500.5,-110,500.5,-110
Adam Thielen,1/7/24 1:00 PM,549.5,-110,549.5,-110
Odell Beckham,1/7/24 1:00 PM,559.5,-110,559.5,-110
Quentin Johnson,1/7/24 1:00 PM,574.5,-110,574.5,-110
Robert Woods,1/7/24 1:00 PM,574.5,-110,574.5,-110
Kadarius Toney,1/7/24 1:00 PM,624.5,-110,624.5,-110
Evan Engram,1/7/24 1:00 PM,624.5,-110,624.5,-110
Courtland Sutton,1/7/24 1:00 PM,699.5,-110,699.5,-110
JuJu Smith-Schuster,1/7/24 1:00 PM,699.5,-110,699.5,-110
Darren Waller,1/7/24 1:00 PM,699.5,-110,699.5,-110
Kyle Pitts,1/7/24 1:00 PM,700.5,-110,700.5,-110
Jaxon Smith-Njigba,1/7/24 1:00 PM,724.5,-110,724.5,-110
George Kittle,1/7/24 1:00 PM,724.5,-110,724.5,-110
George Pickens,1/7/24 1:00 PM,749.5,-110,749.5,-110
Mike Williams,1/7/24 1:00 PM,799.5,-110,799.5,-110
D.J. Moore,1/7/24 1:00 PM,799.5,-115,799.5,-105
Marquise Brown,1/7/24 1:00 PM,799.5,-110,799.5,-110
Drake London,1/7/24 1:00 PM,824.5,-110,824.5,-110
Michael Pittman Jr.,1/7/24 1:00 PM,824.5,-110,824.5,-110
Diontae Johnson,1/7/24 1:00 PM,824.5,-110,824.5,-110
Mark Andrews,1/7/24 1:00 PM,874.5,-110,874.5,-110
Jerry Jeudy,1/7/24 1:00 PM,874.5,-110,874.5,-110
Tyler Lockett,1/7/24 1:00 PM,874.5,-110,874.5,-110
Keenan Allen,1/7/24 1:00 PM,875.5,-110,875.5,-110
Calvin Ridley,1/7/24 1:00 PM,900.5,-110,900.5,-110
Amari Cooper,1/7/24 1:00 PM,924.5,-110,924.5,-110
Mike Evans,1/7/24 1:00 PM,924.5,-110,924.5,-110
Amon-Ra St. Brown,1/7/24 1:00 PM,949.5,-135,949.5,+110
DK Metcalf,1/7/24 1:00 PM,950.5,-110,950.5,-110
DeVonta Smith,1/7/24 1:00 PM,974.5,-110,974.5,-110
Tee Higgins,1/7/24 1:00 PM,999.5,-110,999.5,-110
Chris Olave,1/7/24 1:00 PM,1000.5,-110,1000.5,-110
Jaylen Waddle,1/7/24 1:00 PM,1049.5,-110,1049.5,-110
CeeDee Lamb,1/7/24 1:00 PM,1049.5,-135,1049.5,+110
Stefon Diggs,1/7/24 1:00 PM,1124.5,-110,1124.5,-110
Travis Kelce,1/7/24 1:00 PM,1149.5,-110,1149.5,-110
Garrett Wilson,1/7/24 1:00 PM,1150.5,-110,1150.5,-110
Cooper Kupp,1/7/24 1:00 PM,1224.5,-110,1224.5,-110
Tyreek Hill,1/7/24 1:00 PM,1249.5,-110,1249.5,-110
Justin Jefferson,1/7/24 1:00 PM,1249.5,-140,1249.5,+115
Ja'Marr Chase,1/7/24 1:00 PM,1274.5,-110,1274.5,-110
Davante Adams,1/7/24 1:00 PM,1299.5,-110,1299.5,-110
Allen Lazard,1/7/24 1:00 PM,675.5,-110,675.5,-110
Dallas Goedert,1/7/24 1:00 PM,675.5,-120,675.5,+100
A.J. Brown,1/7/24 1:00 PM,1125.5,-110,1125.5,-110
Christian Watson,1/7/24 1:00 PM,799.5,-110,799.5,-110
Terry McLaurin,1/7/24 1:00 PM,899.5,-115,899.5,-115
Christian Kirk,1/7/24 1:00 PM,824.5,-110,824.5,-110
