Name,Date,Over,Over Odds,Under,Under Odds
Aaron Jones,"Sep 10, 4:25pm ET",825.5,-112,825.5,-112
AJ Dillon,"Sep 10, 4:25pm ET",675.5,-112,675.5,-112
Alexander Mattison,"Sep 10, 1:00pm ET",850.5,-112,850.5,-112
Austin Ekeler,"Sep 10, 4:25pm ET",750.5,-112,750.5,-112
Bijan Robinson,"Sep 10, 1:00pm ET",1075.5,-112,1075.5,-112
Breece Hall,"Sep 11, 8:20pm ET",875.5,-112,875.5,-112
Brian Robinson Jr.,"Sep 10, 1:00pm ET",725.5,-112,725.5,-112
Cam Akers,"Sep 10, 4:25pm ET",750.5,-112,750.5,-112
Christian McCaffrey,"Sep 10, 1:00pm ET",850.5,-112,850.5,-112
D'Andre Swift,"Sep 10, 4:25pm ET",525.5,-112,525.5,-112
Dameon Pierce,"Sep 10, 1:00pm ET",850.5,-112,850.5,-112
Daniel Jones,"Sep 10, 8:15pm ET",550.5,-112,550.5,-112
David Montgomery,"Sep 7, 8:20pm ET",725.5,-112,725.5,-112
Derrick Henry,"Sep 10, 1:00pm ET",1175.5,-112,1175.5,-112
Isiah Pacheco,"Sep 7, 8:20pm ET",780.5,-112,780.5,-112
J.K. Dobbins,"Sep 10, 1:00pm ET",825.5,-112,825.5,-112
James Conner,"Sep 10, 1:00pm ET",675.5,-112,675.5,-112
Jalen Hurts,"Sep 10, 4:25pm ET",725.5,-112,725.5,-112
Joe Mixon,"Sep 10, 1:00pm ET",825.5,-112,825.5,-112
Jonathan Taylor,"Sep 10, 1:00pm ET",1200.5,-112,1200.5,-112
Josh Allen,"Sep 11, 8:20pm ET",575.5,-112,575.5,-112
Justin Fields,"Sep 10, 4:25pm ET",850.5,-112,850.5,-112
Kenneth Walker,"Sep 10, 4:25pm ET",900.5,-112,900.5,-112
Lamar Jackson,"Sep 10, 1:00pm ET",775.5,-112,775.5,-112
Miles Sanders,"Sep 10, 1:00pm ET",900.5,-112,900.5,-112
Najee Harris,"Sep 10, 1:00pm ET",950.5,-112,950.5,-112
Nick Chubb,"Sep 10, 1:00pm ET",1200.5,-112,1200.5,-112
Rhamondre Stevenson,"Sep 7, 8:15pm ET",925.5,-112,925.5,-112
Travis Etienne Jr.,"Sep 10, 1:00pm ET",900.5,-112,900.5,-112
